value,count
acier,2
agrès de navire,1
alun,2
amandes,4
amidon,2
armes blanches,1
armes blanches en sabres,1
armes blanches sabres,1
armes à feu fusils,4
armes à feu pistolets,1
avoine,3
azur,1
baleine,1
baleine coupée,2
bestiaux bœuf,1
beurre,12
biscuit,4
biscuit de mer,1
bière,7
blé seigle,2
bois d'acajou,1
bois de Caliatour,1
bois de Campêche,2
bois de Pernambouc,1
bois de chêne,1
bois de chêne en bordages,3
bois de construction,3
bois de menuiserie,1
bois de pin en planches,1
bois de sapin,1
bois de sapin en bordages,3
bois de sapin en morceaux,2
bois de sapin en perches,1
bois de sapin en planches,21
bois de sapin en poutres,1
bois de sapin pour construction,2
bois divers,1
bois du Brésil,1
bois en barres d'anspect,1
bois en bordage,1
bois en cercles,2
bois en lattes,1
bois en manches de gaffes,1
bois en matériaux,7
bois en mâts,1
bois en perches,1
bois en planches,2
bois en soliveaux,3
bois et écorce de chêne et de frêne,1
bois feuillards,1
bois jaune,1
bois merrains,5
bois merrains en chêne,3
bois merrains en sapin,3
bois merrains pour tonnellerie,3
bois osier,1
bois à brûler,3
bois à brûler et fagots,1
bonneterie de coton,1
bonneterie de fil,1
bonneterie de laine,1
bonneterie de laine bonnets,1
bonneterie de soie,2
bonneterie de soie en bas,1
brai,1
brai et goudron,5
brai goudron,2
brai gras,2
brai gras et sec,1
brai sec,2
broderie,1
bâtiments naufragés,1
cacao,1
café,5
café avarié,1
café de Bourbon,1
café de Moka,1
canevettes,2
cannelle,2
cauris,4
chair de bœuf salé,10
chanvre,4
chanvre en masses,3
chanvre en rames,1
chapeaux,1
chapeaux de feutre,1
charbon de bois,4
charbon de terre,7
chaux,2
chevaux,2
cheveux,1
chocolat,1
cire blanche,2
clous,2
clous de fer,2
cochon,2
colle,1
colle de poisson,1
colle forte,1
confitures,2
corail,1
corail ouvré,1
cordage,4
cornalines,1
coton,2
coton en laine,4
coton filé,2
couperose,2
couperose verte,1
coutellerie,2
couvertures de laine,2
cuirs de bœuf,1
cuirs de bœuf tannés,1
cuirs de bœufs en vert,2
cuirs de vache en poil,2
cuirs de vache tannés,1
cuirs secs en poil,1
cuirs tannés,1
cuivre,2
cuivre brut,2
cuivre en mitraille,2
cuivre en planches,1
cuivre ouvré,5
